Word	POS	NEG
the	3144	0
the	3144	0
delighted	2	0
but	349	75
receptacle	1	0
same	34	3
and	1484	310
particularly	1	3
can	296	0
all	157	45
and	1484	0
the	3144	0
room	90	0
have	946	0
trip	19	0
versa	1	0
travel	131	0
the	3144	0
great	204	0
sleeper	47	0
house	23	0
off	188	0
alarm	830	265
rrb	335	17
the	3144	1082
lite	4	0
brazil	1	0
but	349	121
for	807	0
with	392	0
mother	6	0
louder	20	0
grow	2	0
friendly	9	0
steadily	1	0
place	17	0
over	63	0
manageable	1	0
rotate	4	2
the	3144	1395
and	1484	113
perfect	69	0
radio	99	22
awful	0	4
number	84	1
decide	10	8
switch	47	0
between	17	5
clock	1098	127
toys	2	0
sound	249	151
flash	32	0
this	845	0
minute	90	58
under	24	0
buy	167	40
night	134	0
alarm	830	128
have	946	0
located	3	1
will	121	17
back	98	0
two	77	0
hard	36	10
not	680	196
selection	3	0
have	946	326
some	74	0
alarm	830	0
and	1484	0
off	188	49
alarm	830	51
tend	6	0
color	40	0
off	188	63
impossible	5	6
the	3144	0
were	0	2
all	157	0
the	3144	1315
attractive	10	0
annoying	27	0
side	30	0
get	222	0
take	71	0
movie	1	0
when	235	15
you	682	188
easy	241	0
not	680	239
who	86	0
but	349	0
glance	2	1
rrb	335	0
back	98	13
potential	5	1
they	178	0
lrb	291	0
powered	3	0
padme	1	0
shock	2	2
one	315	0
weekend	13	4
once	31	9
with	392	87
for	807	187
the	3144	1035
understand	12	0
the	3144	0
trooper	8	0
the	3144	0
husband	29	0
impaired	0	1
receive	28	13
travel	131	0
the	3144	1009
cut	9	0
alarm	830	0
anywhere	7	2
hardly	3	2
time	500	71
war	11	0
ago	24	11
the	3144	0
the	3144	717
this	845	246
strong	4	0
work	206	46
amount	5	3
best	49	1
this	845	136
coby	0	8
this	845	0
clock	1098	320
only	186	0
one	315	0
time	500	221
change	69	0
how	51	11
the	3144	0
glass	23	0
display	151	31
bell	13	2
set	282	0
set	282	16
buy	167	0
and	1484	297
chime	18	3
lrb	291	0
button	166	13
the	3144	315
clearly	7	0
not	680	163
this	845	315
just	183	26
off	188	27
the	3144	0
clock	1098	175
luggage	6	0
hour	54	20
would	206	70
have	946	0
this	845	299
variety	6	0
alarm	830	0
sound	249	0
for	807	246
and	1484	41
but	349	33
touch	4	2
item	27	26
set	282	0
that	642	56
and	1484	23
love	166	0
sound	249	0
more	117	7
wife	22	0
all	157	0
and	1484	0
power	75	0
current	8	0
even	88	27
gyp	1	0
maybe	19	0
instead	23	0
time	500	0
ever	24	0
storage	2	0
husband	29	0
well	106	0
have	946	97
pair	0	1
one	315	0
good	161	0
the	3144	0
with	392	0
she	147	0
and	1484	0
reason	17	5
awesome	13	0
research	4	0
light	263	0
the	3144	0
have	946	116
thick	3	0
try	39	17
sound	249	5
think	68	34
thing	69	9
the	3144	1013
past	16	1
pleasantly	2	0
have	946	120
light	263	0
lrb	291	42
dalek	11	0
the	3144	0
the	3144	0
ton	0	2
display	151	0
item	27	31
this	845	59
and	1484	0
which	145	0
face	41	0
the	3144	1611
for	807	240
for	807	237
lot	34	10
extremely	18	8
bright	85	0
fan	23	0
generic	4	1
with	392	69
snooze	121	0
wake	237	0
view	11	0
traditional	8	0
not	680	34
just	183	70
dial	32	0
usually	15	1
rrb	335	0
alarm	830	0
clock	1098	260
may	16	9
and	1484	0
braun	0	1
clock	1098	0
one	315	0
the	3144	0
interface	0	3
the	3144	0
have	946	131
for	807	0
easy	241	0
forget	15	0
only	186	28
but	349	65
largest	2	0
sweeping	0	1
darth	22	0
complaint	22	0
give	58	9
will	121	0
advance	0	4
but	349	29
you	682	0
clock	1098	22
lightest	1	0
after	82	32
imperial	1	0
you	682	0
and	1484	0
clock	1098	188
irregularly	2	0
display	151	51
only	186	0
like	247	0
leap	0	2
loud	108	0
buy	167	6
either	13	3
hope	15	2
the	3144	0
vibrate	17	0
fake	4	0
have	946	0
clock	1098	0
operate	19	3
you	682	0
after	82	53
where	23	0
the	3144	0
off	188	0
have	946	123
the	3144	0
quiet	15	0
like	247	75
work	206	29
you	682	74
and	1484	0
that	642	0
guess	9	11
digital	43	25
the	3144	314
and	1484	0
part	20	0
and	1484	0
dog	2	0
but	349	103
able	31	7
twin	1	0
and	1484	0
just	183	0
second	28	25
own	29	0
small	93	9
you	682	0
for	807	0
worry	19	0
more	117	33
with	392	0
day	85	50
adjustment	6	1
encourage	1	0
put	45	0
ramp	1	0
those	29	0
alarm	830	0
change	69	2
annoying	27	0
not	680	289
the	3144	1506
clock	1098	0
room	90	0
nicely	6	0
less	23	0
lrb	291	74
defect	3	2
rrb	335	0
alarm	830	0
use	278	0
con	15	2
clock	1098	235
quite	26	0
far	50	2
towards	2	0
this	845	422
sound	249	99
dead	0	1
need	124	0
month	39	35
and	1484	102
with	392	0
receive	28	23
concern	10	0
rrb	335	0
lot	34	0
very	273	17
read	121	21
try	39	39
the	3144	1577
drain	2	1
shaker	11	0
observation	0	2
product	86	68
need	124	0
then	57	7
replace	27	0
all	157	46
could	72	0
have	946	202
one	315	42
the	3144	186
the	3144	0
money	20	32
annoying	27	3
from	136	0
light	263	127
like	247	32
sony	6	0
delight	2	0
light	263	61
for	807	0
alarm	830	0
buy	167	21
receive	0	4
the	3144	625
clock	1098	0
lrb	291	0
understand	12	0
the	3144	0
use	278	0
people	32	0
automatically	26	0
timex	18	0
purchase	85	9
not	680	86
clock	1098	283
dst	12	0
want	111	0
the	3144	0
night	134	0
they	178	0
thing	69	0
and	1484	0
clap	7	0
but	349	148
enough	98	12
singing	3	0
time	500	8
lrb	291	17
projection	10	4
they	178	0
this	845	0
else	13	7
clock	1098	0
grandson	2	1
not	680	412
you	682	0
even	88	15
night	134	38
instruction	30	5
let	17	9
time	500	0
additional	4	0
morning	66	0
they	178	55
the	3144	922
pretty	32	0
soothing	13	0
the	3144	0
will	121	59
clock	1098	34
work	206	64
the	3144	704
the	3144	579
stormtroopers	1	0
listen	17	0
this	845	0
make	153	0
see	144	0
turn	111	0
regular	8	0
the	3144	0
room	90	32
quite	26	6
innovative	2	0
always	29	0
and	1484	136
take	71	0
funtion	2	0
night	134	0
twice	12	0
lrb	291	0
dependability	1	0
rrb	335	79
easy	241	0
while	39	0
itself	36	0
could	72	41
you	682	0
wake	237	39
serve	10	0
that	642	0
one	315	0
and	1484	0
alignment	0	1
read	121	0
until	20	12
color	40	0
room	90	0
when	235	0
day	85	61
also	127	47
battery	180	0
control	45	0
rrb	335	43
avoid	0	4
and	1484	219
clock	1098	145
you	682	0
this	845	400
alarm	830	211
handy	14	0
and	1484	0
two	77	4
research	4	1
the	3144	778
other	130	0
product	86	30
graduate	2	0
the	3144	1296
the	3144	105
clock	1098	171
recess	1	0
the	3144	0
the	3144	1091
rrb	335	0
and	1484	275
break	15	14
alarm	830	0
seem	41	0
exact	9	2
size	47	0
transport	2	0
day	85	2
the	3144	0
well	106	0
and	1484	177
the	3144	505
buy	167	68
sound	249	0
forget	15	0
enough	98	0
casio	7	3
clock	1098	0
have	946	0
down	45	11
the	3144	0
have	946	0
for	807	0
solid	3	1
like	247	0
time	500	149
with	392	74
several	33	0
negative	9	0
for	807	0
really	106	45
aaa	13	0
the	3144	0
unit	18	12
this	845	0
review	48	5
live	20	0
that	642	0
too	119	0
love	166	0
picnic	1	0
have	946	0
deprive	1	0
few	51	19
electrician	1	0
indiglo	11	0
for	807	222
ordinary	3	0
happy	37	0
readability	1	0
one	315	0
perform	5	0
operation	5	0
even	88	23
shipping	11	5
glow	20	0
option	24	0
amaze	1	0
brighter	0	2
alarm	830	40
christmas	15	7
other	130	0
nap	29	0
get	222	40
this	845	0
and	1484	245
water	8	2
have	946	0
when	235	71
list	6	2
the	3144	0
wtf	0	1
display	151	43
very	273	1
the	3144	0
beep	27	0
what	124	0
for	807	179
while	39	10
easy	241	0
kid	11	0
clock	1098	438
unlike	8	0
speaker	0	6
nap	29	0
have	946	0
what	124	0
after	82	17
battery	180	0
innovative	2	0
this	845	0
this	845	54
button	166	0
internal	0	2
should	37	4
but	349	0
while	39	20
reset	31	13
and	1484	0
this	845	318
not	680	266
good	161	0
plastic	24	2
but	349	96
become	13	0
sunlight	3	0
brightness	29	0
travel	131	0
monday	4	0
trust	6	0
over	63	0
junk	0	24
just	183	42
see	144	0
day	85	24
inaccuracy	0	1
conair	2	0
can	296	0
someone	14	0
lrb	291	0
scare	7	0
footprint	3	0
versus	2	0
almost	20	13
room	90	33
easy	241	0
adequate	5	0
for	807	299
weekday	2	0
for	807	0
the	3144	0
when	235	0
the	3144	755
clock	1098	430
push	29	0
battery	180	5
the	3144	0
one	315	7
most	41	0
display	151	0
turn	111	0
star	64	6
nice	71	0
lrb	291	0
yet	29	0
not	680	212
and	1484	336
when	235	0
box	10	6
clock	1098	471
clearly	7	0
suited	0	1
vertical	0	1
lrb	291	24
year	146	0
front	10	0
big	48	16
traditionally	1	0
every	38	4
box	10	5
kind	14	0
and	1484	85
reason	17	0
that	642	0
now	78	18
clock	1098	57
wake	237	0
rrb	335	63
wish	19	6
adequate	5	0
totally	6	1
setup	11	0
expect	24	6
second	28	17
cord	8	1
pretty	32	0
and	1484	0
think	68	22
you	682	94
alarm	830	140
bright	85	8
the	3144	1542
like	247	37
clock	1098	355
can	296	0
ready	3	0
for	807	0
about	121	52
finally	23	0
for	807	0
have	946	166
off	188	35
becuase	2	0
veneer	1	0
the	3144	1596
buy	167	22
that	642	71
live	20	0
attract	1	0
battery	180	0
the	3144	1045
live	20	5
push	29	0
window	15	1
digital	43	0
and	1484	0
the	3144	456
display	151	52
and	1484	504
package	7	2
great	204	9
middle	16	0
volume	55	0
clock	1098	0
work	206	128
show	27	0
beep	27	0
those	29	3
problem	72	32
all	157	49
clock	1098	0
dark	71	0
wont	2	0
agree	9	2
button	166	27
but	349	0
you	682	0
this	845	389
easiest	2	0
put	45	7
button	166	0
the	3144	1308
that	642	0
the	3144	1018
top	25	2
for	807	0
want	111	0
travel	131	0
north	8	0
many	46	0
button	166	34
small	93	3
time	500	0
well	106	0
and	1484	362
befuddle	0	1
smart	3	0
christmas	15	0
and	1484	0
single	8	0
just	183	0
with	392	0
singapore	1	0
soon	4	3
especially	25	0
son	28	0
this	845	308
all	157	72
large	67	0
clock	1098	0
different	53	24
and	1484	0
constantly	6	0
radio	99	0
they	178	32
rrb	335	124
easy	241	0
camper	3	0
out	146	0
image	12	6
wake	237	0
asleep	15	20
price	67	0
old	71	16
and	1484	0
and	1484	0
small	93	23
see	144	51
silent	8	0
visible	10	3
the	3144	0
clock	1098	88
you	682	0
great	204	0
whir	0	1
the	3144	1447
portable	7	0
without	52	0
get	222	96
the	3144	0
more	117	0
not	680	0
room	90	0
shaker	11	0
hesitate	1	0
can	296	0
and	1484	570
and	1484	0
clock	1098	0
alarm	830	0
she	147	0
price	67	0
next	23	0
midway	1	0
time	500	0
simple	63	0
the	3144	1671
two	77	0
alarm	830	292
not	680	5
hear	43	19
the	3144	856
set	282	0
use	278	26
that	642	0
the	3144	0
too	119	45
fine	46	13
clock	1098	143
not	680	153
brightness	29	0
this	845	304
then	57	0
this	845	314
clock	1098	0
son	28	0
zone	25	3
one	315	96
the	3144	784
the	3144	1558
display	151	0
accomplish	3	0
nice	71	0
timezone	2	0
rrb	335	0
set	282	79
can	296	0
door	5	2
three	25	6
favorite	14	0
have	946	0
like	247	0
alarm	830	0
dimenished	1	0
not	680	197
have	946	102
fine	46	0
son	28	2
smell	1	1
and	1484	0
would	206	102
one	315	17
old	71	0
especially	25	3
hundred	4	0
for	807	0
well	106	4
before	35	20
hour	54	0
time	500	0
functionality	8	0
light	263	0
rrb	335	0
wars	21	0
and	1484	0
great	204	28
they	178	60
not	680	416
take	71	0
chirping	2	0
and	1484	0
the	3144	1084
this	845	189
much	73	0
push	29	0
change	69	0
now	78	0
the	3144	0
different	53	0
use	278	0
with	392	148
right	50	0
hour	54	33
buy	167	20
good	161	0
design	36	7
wall	15	1
the	3144	0
since	53	0
domineering	1	0
and	1484	0
week	29	7
and	1484	0
problem	72	18
friendly	9	0
out	146	0
the	3144	1422
tone	17	0
she	147	0
lead	12	6
alarma	1	0
digital	43	6
sound	249	0
ugh	1	0
nonsense	2	0
purchase	85	3
surprised	2	2
make	153	0
buzz	11	5
big	48	0
light	263	147
the	3144	0
time	500	0
measure	7	0
style	5	0
switch	47	3
finicky	1	0
great	204	0
the	3144	789
feature	117	0
the	3144	376
the	3144	327
actually	28	29
screen	16	0
apartment	3	0
night	134	0
expensive	16	0
say	76	0
fall	17	8
china	0	8
very	273	0
any	61	0
thing	69	0
house	23	0
with	392	0
rrb	335	0
readout	3	3
conventional	2	0
change	69	6
another	66	0
one	315	77
button	166	0
figure	20	0
the	3144	769
something	41	5
right	50	19
this	845	0
they	178	0
include	23	0
that	642	0
alarm	830	0
rrb	335	0
clock	1098	0
clock	1098	0
the	3144	0
another	66	27
great	204	0
fine	46	0
clock	1098	48
snooze	121	0
have	946	67
plug	37	0
and	1484	588
reliable	18	0
run	27	13
saving	3	3
you	682	0
heaviest	2	0
there	117	1
clock	1098	0
great	204	0
this	845	124
what	124	0
might	24	17
spend	12	6
have	946	0
automatically	26	0
match	0	2
that	642	0
want	111	14
anticipate	0	1
rrb	335	0
separate	11	0
because	76	0
thisone	1	0
and	1484	0
how	51	22
regret	4	0
prefer	16	0
guest	7	0
couple	22	0
bomb	3	0
two	77	26
fashioned	0	1
the	3144	963
and	1484	0
say	76	0
this	845	0
problem	72	0
the	3144	0
will	121	4
power	75	0
orb	2	0
service	7	6
enjoy	15	0
funny	0	1
but	349	0
size	47	0
the	3144	285
when	235	0
would	206	87
move	16	5
short	18	14
closed	2	0
only	186	39
tell	28	3
just	183	0
sleep	116	0
send	0	11
well	106	15
louder	20	4
read	121	0
once	31	12
way	40	41
display	151	0
occasionally	4	0
clock	1098	0
mega	1	0
clock	1098	0
tend	6	0
travel	131	0
off	188	40
but	349	55
and	1484	0
enough	98	0
sound	249	35
again	44	39
battery	180	0
clock	1098	0
star	64	0
say	76	0
setting	73	0
good	161	0
will	121	0
authentic	1	0
these	55	5
studio	1	0
and	1484	0
for	807	256
the	3144	857
receive	0	4
year	146	0
the	3144	747
get	222	0
those	29	0
same	34	11
well	106	26
functionality	8	1
alarm	830	0
neighbor	7	0
delay	4	0
really	106	0
the	3144	292
can	296	0
bright	85	0
lrb	291	0
one	315	0
not	680	370
the	3144	422
that	642	0
just	183	65
the	3144	681
only	186	0
about	121	0
would	206	113
level	14	10
cell	12	0
maybe	19	0
order	46	18
badly	0	4
good	161	31
clock	1098	0
with	392	47
for	807	158
clock	1098	126
usefully	2	0
like	247	0
model	24	6
the	3144	0
not	680	253
pillow	12	0
burn	0	5
the	3144	1205
display	151	0
doesnt	3	1
star	64	0
this	845	417
have	946	0
the	3144	0
perfect	69	4
function	36	0
lrb	291	0
will	121	0
this	845	0
very	273	0
thing	69	13
for	807	176
football	1	0
desk	14	6
obviously	5	3
the	3144	852
for	807	109
she	147	0
again	44	0
trouble	10	0
for	807	113
press	39	0
use	278	68
can	296	0
rrb	335	0
can	296	0
restart	0	2
you	682	142
great	204	0
that	642	187
simple	63	0
alarm	830	165
operate	19	0
itsef	1	0
remove	4	1
dead	4	2
through	42	2
minute	90	2
feature	117	0
get	222	60
the	3144	322
the	3144	0
than	108	0
battery	180	76
find	122	17
longer	17	0
bedside	22	0
setting	73	0
feel	20	6
feature	117	0
clock	1098	464
able	31	0
who	86	0
box	10	13
own	29	0
and	1484	252
nice	71	0
the	3144	0
numeral	9	0
anyone	25	10
hand	39	9
the	3144	38
come	58	0
for	807	0
customer	5	10
that	642	0
back	98	44
the	3144	0
work	206	0
america	3	0
this	845	0
old	71	10
snooze	121	0
can	296	48
have	946	20
natural	6	0
lego	19	0
clock	1098	0
schedule	5	2
pay	8	22
temperature	20	0
the	3144	0
work	206	22
and	1484	0
other	130	38
have	946	275
dodge	1	0
comment	12	0
nice	71	14
though	32	0
mama	1	0
the	3144	0
the	3144	196
read	121	0
the	3144	0
since	53	8
and	1484	0
the	3144	1570
shuus	1	0
minute	90	34
review	48	15
clock	1098	477
some	74	0
the	3144	1101
one	315	0
less	23	0
alarm	830	0
tempt	0	1
plug	37	0
camp	2	0
impress	3	0
year	146	0
look	133	34
accept	1	2
interesting	0	2
etc	25	0
self	8	3
then	57	3
other	130	25
that	642	0
the	3144	566
detatch	0	1
and	1484	479
you	682	143
the	3144	1203
who	86	0
large	67	0
alarm	830	113
people	32	0
kip	1	0
bed	59	0
pity	0	2
alarm	830	307
alarm	830	0
find	122	0
they	178	0
vestibular	1	0
not	680	466
differnt	0	1
with	392	89
since	53	0
lovely	6	0
woods	6	0
doze	1	0
rrb	335	53
room	90	0
east	2	0
ridiculi	0	1
bomb	3	0
have	946	313
just	183	29
recently	9	0
carry	12	0
china	0	8
light	263	38
compare	9	0
product	86	84
light	263	112
school	12	0
this	845	0
flash	32	0
use	278	0
have	946	355
gap	0	1
successfully	1	0
open	15	8
off	188	0
that	642	307
review	48	21
yeah	4	1
lcd	20	0
use	278	0
normal	12	0
along	6	0
you	682	0
sunrise	16	4
easy	241	0
light	263	0
fail	9	3
great	204	0
have	946	59
smaller	10	3
hard	36	1
make	153	0
that	642	0
mattress	8	0
purchase	85	0
station	10	3
oversleeping	0	1
amazon	31	38
brightness	29	0
easy	241	0
off	188	0
extension	3	0
have	946	127
clock	1098	0
money	0	13
clock	1098	0
mattress	8	0
who	86	4
exterminate	6	0
bright	85	0
and	1484	308
clock	1098	38
purchase	85	0
alarm	830	0
sound	249	68
and	1484	84
for	807	0
this	845	383
the	3144	1171
desk	14	0
picture	17	7
explanatory	1	0
the	3144	0
trouble	10	0
reason	17	0
the	3144	0
glow	20	2
nap	29	0
the	3144	0
clock	1098	0
lrb	291	0
that	642	287
can	296	0
for	807	0
all	157	48
and	1484	0
more	117	14
keep	71	12
not	680	43
another	66	0
only	186	0
price	67	5
clock	1098	0
product	86	37
marriage	1	0
leave	23	3
have	946	0
can	296	44
one	315	0
the	3144	0
morning	66	0
limit	5	0
protective	1	1
many	46	10
now	78	31
down	45	3
alarm	830	0
the	3144	0
extremely	18	0
alarm	830	98
too	119	8
but	349	36
louder	20	0
when	235	107
will	121	36
buy	167	46
agree	9	0
alarm	830	0
can	296	0
too	119	10
centigrade	1	0
you	682	123
wall	15	3
how	51	21
all	157	2
alarm	830	0
amazing	9	0
softer	2	0
clock	1098	452
have	946	0
the	3144	0
have	946	0
all	157	0
continue	1	3
when	235	0
sound	249	47
have	946	258
display	151	0
will	121	0
year	146	3
would	206	0
would	206	0
versus	2	0
when	235	0
push	29	5
fine	46	0
several	33	0
very	273	57
customer	0	8
unfortunately	0	9
guess	0	5
dalek	11	1
clock	1098	39
for	807	151
buy	167	0
than	108	13
take	71	0
country	5	0
some	74	6
and	1484	214
will	121	0
ignore	4	0
get	222	0
just	183	0
read	121	6
sleep	116	0
minimal	2	1
and	1484	0
should	37	0
difficult	15	11
verify	1	0
short	18	16
mon	1	0
ease	8	0
any	61	0
depend	7	5
too	119	0
this	845	87
idea	11	10
jauntily	1	0
use	278	0
the	3144	814
off	188	0
not	680	103
country	5	0
con	15	0
that	642	0
product	86	4
clock	1098	0
very	273	0
can	296	0
she	147	0
the	3144	0
watch	16	6
last	36	12
the	3144	0
cheap	23	39
year	146	0
highway	0	1
program	13	0
living	7	1
feel	20	15
perhaps	3	3
tell	28	0
set	282	28
during	18	5
get	222	5
for	807	0
set	282	0
several	33	0
volume	55	0
the	3144	0
because	76	0
toy	6	3
indefinitely	2	0
problem	72	23
function	36	0
like	247	0
each	27	0
only	186	0
the	3144	570
anything	17	0
clock	1098	2
expect	24	8
the	3144	204
mattress	8	0
only	186	0
exciting	0	1
perfect	69	0
rrb	335	0
time	500	0
fall	17	18
lighter	2	1
off	188	58
than	108	37
not	680	73
have	946	347
new	39	21
birthday	12	0
that	642	0
large	67	0
projection	10	2
sound	249	0
use	278	16
much	73	0
you	682	0
luggage	6	0
battery	180	0
camera	2	0
change	69	0
every	38	0
time	500	118
remove	4	2
simple	63	0
distance	13	0
use	278	62
this	845	0
sleep	116	17
you	682	0
when	235	23
decide	10	4
one	315	0
about	121	14
quality	30	32
web	4	2
but	349	0
alarm	830	0
for	807	0
you	682	0
would	206	97
use	278	0
this	845	0
set	282	0
have	946	0
when	235	95
unfortunately	4	13
probably	14	8
alarm	830	0
bit	39	9
trust	6	0
star	64	0
happy	37	0
look	133	58
number	84	0
not	680	37
choice	8	2
that	642	0
but	349	221
who	86	7
better	41	0
rrb	335	0
have	946	358
than	108	16
shine	5	0
the	3144	0
the	3144	423
easy	241	0
adjustable	15	0
picture	17	5
wood	2	0
alarm	830	0
lamp	9	7
hotel	11	0
have	946	0
she	147	0
without	52	0
have	946	121
spring	4	0
love	166	0
cold	2	1
table	13	0
what	124	0
the	3144	401
and	1484	0
have	946	0
buy	167	73
easy	241	0
small	93	0
illumination	2	0
little	122	5
read	121	0
like	247	0
there	117	0
many	46	0
for	807	248
want	111	0
the	3144	294
all	157	41
for	807	0
get	222	101
than	108	19
yuck	1	0
everyone	9	0
get	222	0
couple	22	0
see	144	20
little	122	0
replacement	15	0
need	124	0
have	946	0
for	807	0
sound	249	17
day	85	0
smooth	0	1
stable	4	0
this	845	0
its	81	0
the	3144	389
the	3144	192
sit	19	1
pose	3	0
alarm	830	184
button	166	0
glow	20	0
what	124	10
muffle	0	1
long	32	0
middle	16	5
clock	1098	0
even	88	7
have	946	0
bird	14	0
brother	3	0
and	1484	0
the	3144	1456
doa	0	1
people	32	0
when	235	100
than	108	36
cell	12	4
and	1484	121
rrb	335	5
clock	1098	0
constant	6	0
time	500	0
connect	3	3
hit	26	12
time	500	168
way	40	34
gift	20	12
that	642	228
when	235	28
the	3144	1571
cause	7	4
happy	37	0
way	40	44
interface	1	4
part	20	0
next	23	3
every	38	8
back	98	5
see	144	0
boom	15	0
but	349	34
babble	2	0
the	3144	0
work	206	151
the	3144	0
keep	71	4
the	3144	0
shake	6	0
large	67	0
this	845	18
nap	29	0
from	136	0
guess	9	6
think	68	57
the	3144	0
anything	17	0
first	56	0
that	642	65
enough	98	0
alarm	830	0
that	642	1
you	682	113
for	807	0
clock	1098	24
like	247	0
beep	27	0
travel	131	8
one	315	0
amount	5	1
all	157	0
tough	4	0
all	157	40
despite	2	2
the	3144	0
time	500	215
for	807	101
perfect	69	0
one	315	0
terrible	0	8
price	67	0
out	146	53
purchase	85	0
buy	167	1
time	500	0
turn	111	4
really	106	48
garbage	1	3
nobody	1	0
wake	237	0
have	946	0
clock	1098	0
really	106	0
she	147	15
video	2	0
the	3144	0
set	282	0
nice	71	0
and	1484	0
come	58	0
for	807	185
sleep	116	0
keep	71	50
recommend	69	0
first	56	42
see	144	0
and	1484	0
get	222	0
alarm	830	0
know	49	0
major	0	3
drift	0	1
search	18	0
seconds	27	0
easy	241	0
clock	1098	0
there	117	5
high	20	7
nice	71	0
really	106	49
father	6	0
you	682	100
jack	0	8
previously	3	0
who	86	2
falling	0	1
these	55	0
billboard	1	0
make	153	0
easy	241	0
great	204	0
display	151	0
setting	73	0
picture	17	14
under	24	0
these	55	0
old	71	11
mine	25	4
thing	69	34
issue	15	7
buyer	2	1
the	3144	146
alarm	830	163
alarm	830	0
how	51	0
rap	0	1
show	27	5
daughter	23	9
compartment	3	0
setting	73	0
rrb	335	94
and	1484	0
control	45	0
get	222	7
all	157	0
get	222	0
only	186	0
fairly	10	0
and	1484	0
eight	3	0
louder	20	2
buy	167	51
forget	15	0
perfect	69	0
she	147	0
and	1484	138
feature	117	0
through	42	0
accidentally	10	0
display	151	19
school	12	0
clock	1098	0
hour	54	39
which	145	0
amazon	31	13
store	17	0
great	204	0
very	273	0
alarm	830	0
the	3144	0
think	68	0
want	111	0
get	222	0
the	3144	494
foldable	2	0
not	680	369
day	85	0
they	178	0
year	146	0
some	74	14
body	2	2
glasses	1	0
you	682	0
what	124	0
lrb	291	0
reset	31	1
machine	27	0
almost	20	5
after	82	0
chance	3	3
glow	20	0
they	178	4
turn	111	0
convenient	9	0
the	3144	690
say	76	0
what	124	39
the	3144	953
absolutely	10	2
next	23	5
clock	1098	0
outage	16	0
hit	26	13
reasonable	3	0
feature	117	0
not	680	60
use	278	0
need	124	34
son	28	0
room	90	0
get	222	55
with	392	0
again	44	18
because	76	0
clock	1098	117
boy	6	0
before	35	17
box	10	7
sound	249	55
for	807	323
over	63	0
who	86	0
clock	1098	0
and	1484	397
sound	249	162
money	0	13
wake	237	6
work	206	134
stop	0	36
the	3144	0
use	278	74
legos	2	0
clock	1098	362
electronics	1	4
clock	1098	252
clock	1098	0
time	500	0
sight	4	0
large	67	0
this	845	82
one	315	0
sound	249	45
for	807	254
snooze	121	0
consistantly	0	1
the	3144	1488
better	41	12
wake	237	67
snooze	121	31
easy	241	0
have	946	93
work	206	157
not	680	320
price	67	8
early	11	0
little	122	25
can	296	21
because	76	12
read	121	31
you	682	0
with	392	0
look	133	23
image	12	8
barely	0	7
main	10	7
father	6	0
after	82	15
change	69	0
the	3144	1071
the	3144	0
ridiculously	1	0
two	77	5
extra	16	0
and	1484	0
this	845	0
that	642	40
eye	20	0
not	680	286
date	19	9
suppose	9	6
snooze	121	16
night	134	27
push	29	0
works	10	0
and	1484	0
biobrite	2	3
excellent	12	0
interested	2	0
you	682	0
too	119	0
expect	24	18
not	680	4
the	3144	0
titanium	1	0
not	680	123
and	1484	61
red	30	0
easy	241	0
that	642	0
the	3144	1215
frequency	3	7
better	41	9
and	1484	292
one	315	13
the	3144	441
but	349	5
glad	13	0
just	183	0
function	36	19
that	642	87
the	3144	1585
arm	10	0
way	40	30
and	1484	0
mount	2	0
you	682	86
well	106	0
brightness	29	0
understand	12	0
they	178	0
that	642	168
anyway	8	4
with	392	94
when	235	67
button	166	0
combined	1	0
whether	9	0
excellent	12	0
with	392	30
clock	1098	0
solve	5	0
volume	55	25
display	151	0
which	145	0
have	946	147
throw	6	4
away	21	2
the	3144	0
one	315	92
outage	16	0
time	500	0
like	247	0
elderly	5	0
position	10	6
want	111	0
that	642	0
what	124	0
havent	1	0
easy	241	0
the	3144	62
account	2	0
that	642	0
and	1484	0
get	222	0
however	50	1
pivot	1	0
child	12	0
affect	2	0
and	1484	0
off	188	0
other	130	0
breeze	4	0
the	3144	1648
instruction	30	0
clock	1098	0
couple	22	0
wake	237	24
time	500	0
get	222	86
use	278	44
have	946	0
order	46	13
clock	1098	67
take	71	0
the	3144	803
simple	63	0
stuff	6	0
manner	0	1
lead	12	0
school	12	3
amazon	31	31
state	8	6
clock	1098	257
the	3144	0
the	3144	0
illuminate	13	6
stop	0	36
off	188	0
and	1484	0
tired	4	1
very	273	0
easy	241	0
few	51	0
mine	25	1
volume	55	0
with	392	0
not	680	469
perfect	69	0
lack	0	2
clock	1098	426
when	235	1
but	349	193
take	71	18
bonus	10	0
thing	69	0
lightweight	16	3
order	46	0
the	3144	1286
daugher	1	0
number	84	0
number	84	0
must	17	0
that	642	154
with	392	0
another	66	0
good	161	0
lrb	291	0
for	807	0
get	222	94
sun	0	2
count	0	2
than	108	48
and	1484	150
first	56	31
disrupt	2	0
have	946	0
move	16	4
love	166	0
impact	0	1
the	3144	0
even	88	16
number	84	0
that	642	0
too	119	0
well	106	19
while	39	0
and	1484	322
who	86	3
exactly	29	0
and	1484	0
close	18	0
like	247	12
who	86	5
three	25	0
the	3144	0
this	845	0
drop	10	3
the	3144	0
you	682	0
any	61	0
control	45	0
vision	5	0
alarm	830	241
that	642	222
clock	1098	0
slide	13	2
within	0	7
force	6	1
battery	180	8
spouse	1	0
the	3144	1492
flash	32	5
the	3144	1372
there	117	20
but	349	0
you	682	0
night	134	0
sleep	116	27
wake	237	28
